City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,dryden,49.7833,-92.7503,13.16,67,40,2.06,CA,1694969266
113,cockburn town,21.4612,-71.1419,30.98,66,40,3.09,TC,1694969126
114,malango,-2.9627,119.9001,19.49,98,80,0.37,ID,1694969396
115,kuraymah,18.55,31.85,37.44,13,3,4.44,SD,1694969396
116,margaret river,-33.95,115.0667,13.32,64,86,5.11,AU,1694969396
117,natal,-5.795,-35.2094,30.12,66,40,7.72,BR,1694969013
118,barcelos,41.5388,-8.6151,20.47,87,100,5.22,PT,1694969397
119,ribeira grande,38.5167,-28.7,22.65,53,20,4.92,PT,1694969398
120,papao,-17.75,-149.55,23.82,84,11,4.68,PF,1694969398
121,fort mcmurray,56.7268,-111.381,13.77,71,0,3.6,CA,1694969116
122,puerto baquerizo moreno,-0.9,-89.6,25.55,83,100,4.63,EC,1694969399
123,kidal,18.4411,1.4078,39.29,16,40,3.97,ML,1694969399
124,bulungu,-4.55,18.6,27.57,64,98,0.92,CD,1694969399
125,bousso,10.4795,16.7117,26.08,82,58,2.82,TD,1694969400
126,thinadhoo,0.5333,72.9333,27.91,79,12,6.58,MV,1694969400
127,inari,68.906,27.0288,5.11,92,99,1.76,FI,1694969401
128,curuca,-0.7289,-47.8481,33.52,47,5,5.86,BR,1694969140
129,slave lake,55.2834,-114.769,13.99,72,0,5.14,CA,1694969402
130,codrington,-38.2667,141.9667,10.83,96,100,2.6,AU,1694969402
131,nova sintra,14.8667,-24.7167,22.64,73,20,5.45,CV,1694969402
132,punxsutawney,40.9437,-78.9709,20.12,76,100,0.89,US,1694969403
133,flying fish cove,-10.4217,105.6791,23.82,83,75,5.14,CX,1694969403
134,lebu,-37.6167,-73.65,10.48,58,5,3.95,CL,1694969297
135,mermoz boabab,14.7065,-17.4758,30.88,74,40,5.14,SN,1694969404
136,thanh hoa,19.8,105.7667,25.04,95,100,1.29,VN,1694969405
137,la passe,45.5549,-0.8967,22.13,88,100,3.87,FR,1694969138
138,archangelos,36.2149,28.1149,26.28,67,51,3.88,GR,1694969405
139,katima mulilo,-17.5,24.2667,29.15,12,0,2.73,NA,1694969406
140,praia da vitoria,38.7333,-27.0667,22.14,64,40,6.31,PT,1694969406
141,ola,59.5833,151.2833,6.19,77,50,4.07,RU,1694969407
142,la libertad,-2.2333,-80.9,27.81,74,40,6.17,EC,1694969164
143,kalmunai,7.4167,81.8167,26.52,79,99,7.1,LK,1694969408
144,kudahuvadhoo,2.6708,72.8944,28.42,77,75,6.16,MV,1694969408
145,hoi an,15.8794,108.335,24.98,86,100,1.77,VN,1694969408
146,sal rei,16.1833,-22.9167,29.11,58,40,6.69,CV,1694969409
